1F464 ; [.12E7.0020.0002] # BUST IN SILHOUETTE
1F465 ; [.12E8.0020.0002] # BUSTS IN SILHOUETTE
1F466 ; [.12E9.0020.0002] # BOY
1F467 ; [.12EA.0020.0002] # GIRL
1F468 ; [.12EB.0020.0002] # MAN
1F469 ; [.12EC.0020.0002] # WOMAN
1F46A ; [.12ED.0020.0002] # FAMILY
1F46B ; [.12EE.0020.0002] # MAN AND WOMAN HOLDING HANDS
1F46C ; [.12EF.0020.0002] # TWO MEN HOLDING HANDS
1F46D ; [.12F0.0020.0002] # TWO WOMEN HOLDING HANDS
1F46E ; [.12F1.0020.0002] # POLICE OFFICER
1F46F ; [.12F2.0020.0002] # WOMAN WITH BUNNY EARS
1F470 ; [.12F3.0020.0002] # BRIDE WITH VEIL
1F471 ; [.12F4.0020.0002] # PERSON WITH BLOND HAIR
1F472 ; [.12F5.0020.0002] # MAN WITH GUA PI MAO
1F473 ; [.12F6.0020.0002] # MAN WITH TURBAN
1F474 ; [.12F7.0020.0002] # OLDER MAN
1F475 ; [.12F8.0020.0002] # OLDER WOMAN
1F476 ; [.12F9.0020.0002] # BABY
1F477 ; [.12FA.0020.0002] # CONSTRUCTION WORKER
1F478 ; [.12FB.0020.0002] # PRINCESS
1F479 ; [.12FC.0020.0002] # JAPANESE OGRE
1F47A ; [.12FD.0020.0002] # JAPANESE GOBLIN
1F47B ; [.12FE.0020.0002] # GHOST
1F47C ; [.12FF.0020.0002] # BABY ANGEL
1F47D ; [.1300.0020.0002] # EXTRATERRESTRIAL ALIEN
1F47E ; [.1301.0020.0002] # ALIEN MONSTER
1F47F ; [.1302.0020.0002] # IMP
1F480 ; [.1303.0020.0002] # SKULL
1F481 ; [.1304.0020.0002] # INFORMATION DESK PERSON
1F482 ; [.1305.0020.0002] # GUARDSMAN
1F483 ; [.1306.0020.0002] # DANCER
1F484 ; [.1307.0020.0002] # LIPSTICK
1F485 ; [.1308.0020.0002] # NAIL POLISH
1F486 ; [.1309.0020.0002] # FACE MASSAGE
1F487 ; [.130A.0020.0002] # HAIRCUT
1F488 ; [.130B.0020.0002] # BARBER POLE
1F489 ; [.130C.0020.0002] # SYRINGE
1F48A ; [.130D.0020.0002] # PILL
1F48B ; [.130E.0020.0002] # KISS MARK
1F48C ; [.130F.0020.0002] # LOVE LETTER
1F48D ; [.1310.0020.0002] # RING
1F48E ; [.1311.0020.0002] # GEM STONE
1F48F ; [.1312.0020.0002] # KISS
1F490 ; [.1313.0020.0002] # BOUQUET
1F491 ; [.1314.0020.0002] # COUPLE WITH HEART
1F492 ; [.1315.0020.0002] # WEDDING
1F493 ; [.1316.0020.0002] # BEATING HEART
1F494 ; [.1317.0020.0002] # BROKEN HEART
1F495 ; [.1318.0020.0002] # TWO HEARTS
1F496 ; [.1319.0020.0002] # SPARKLING HEART
1F497 ; [.131A.0020.0002] # GROWING HEART
1F498 ; [.131B.0020.0002] # HEART WITH ARROW
1F499 ; [.131C.0020.0002] # BLUE HEART
1F49A ; [.131D.0020.0002] # GREEN HEART
1F49B ; [.131E.0020.0002] # YELLOW HEART
1F49C ; [.131F.0020.0002] # PURPLE HEART
1F49D ; [.1320.0020.0002] # HEART WITH RIBBON
1F49E ; [.1321.0020.0002] # REVOLVING HEARTS
1F49F ; [.1322.0020.0002] # HEART DECORATION
1F4A0 ; [.1323.0020.0002] # DIAMOND SHAPE WITH A DOT INSIDE
1F4A1 ; [.1324.0020.0002] # ELECTRIC LIGHT BULB
1F4A2 ; [.1325.0020.0002] # ANGER SYMBOL
1F4A3 ; [.1326.0020.0002] # BOMB
1F4A4 ; [.1327.0020.0002] # SLEEPING SYMBOL
1F4A5 ; [.1328.0020.0002] # COLLISION SYMBOL
1F4A6 ; [.1329.0020.0002] # SPLASHING SWEAT SYMBOL
1F4A7 ; [.132A.0020.0002] # DROPLET
1F4A8 ; [.132B.0020.0002] # DASH SYMBOL
1F4A9 ; [.132C.0020.0002] # PILE OF POO
1F4AA ; [.132D.0020.0002] # FLEXED BICEPS
1F4AB ; [.132E.0020.0002] # DIZZY SYMBOL
1F4AC ; [.132F.0020.0002] # SPEECH BALLOON
1F4AD ; [.1330.0020.0002] # THOUGHT BALLOON
1F4AE ; [.1331.0020.0002] # WHITE FLOWER
1F4AF ; [.1332.0020.0002] # HUNDRED POINTS SYMBOL
1F4B0 ; [.1333.0020.0002] # MONEY BAG
1F4B1 ; [.1334.0020.0002] # CURRENCY EXCHANGE
1F4B2 ; [.1335.0020.0002] # HEAVY DOLLAR SIGN
1F4B3 ; [.1336.0020.0002] # CREDIT CARD
1F4B4 ; [.1337.0020.0002] # BANKNOTE WITH YEN SIGN
1F4B5 ; [.1338.0020.0002] # BANKNOTE WITH DOLLAR SIGN
1F4B6 ; [.1339.0020.0002] # BANKNOTE WITH EURO SIGN
1F4B7 ; [.133A.0020.0002] # BANKNOTE WITH POUND SIGN
1F4B8 ; [.133B.0020.0002] # MONEY WITH WINGS
1F4B9 ; [.133C.0020.0002] # CHART WITH UPWARDS TREND AND YEN SIGN
1F4BA ; [.133D.0020.0002] # SEAT
1F4BB ; [.133E.0020.0002] # PERSONAL COMPUTER
1F4BC ; [.133F.0020.0002] # BRIEFCASE
1F4BD ; [.1340.0020.0002] # MINIDISC
1F4BE ; [.1341.0020.0002] # FLOPPY DISK
1F4BF ; [.1342.0020.0002] # OPTICAL DISC
1F4C0 ; [.1343.0020.0002] # DVD
1F4C1 ; [.1344.0020.0002] # FILE FOLDER
1F4C2 ; [.1345.0020.0002] # OPEN FILE FOLDER
1F4C3 ; [.1346.0020.0002] # PAGE WITH CURL
1F4C4 ; [.1347.0020.0002] # PAGE FACING UP
1F4C5 ; [.1348.0020.0002] # CALENDAR
1F4C6 ; [.1349.0020.0002] # TEAR-OFF CALENDAR
1F4C7 ; [.134A.0020.0002] # CARD INDEX
1F4C8 ; [.134B.0020.0002] # CHART WITH UPWARDS TREND
1F4C9 ; [.134C.0020.0002] # CHART WITH DOWNWARDS TREND
1F4CA ; [.134D.0020.0002] # BAR CHART
1F4CB ; [.134E.0020.0002] # CLIPBOARD
1F4CC ; [.134F.0020.0002] # PUSHPIN
1F4CD ; [.1350.0020.0002] # ROUND PUSHPIN
1F4CE ; [.1351.0020.0002] # PAPERCLIP
1F4CF ; [.1352.0020.0002] # STRAIGHT RULER
1F4D0 ; [.1353.0020.0002] # TRIANGULAR RULER
1F4D1 ; [.1354.0020.0002] # BOOKMARK TABS
1F4D2 ; [.1355.0020.0002] # LEDGER
1F4D3 ; [.1356.0020.0002] # NOTEBOOK
1F4D4 ; [.1357.0020.0002] # NOTEBOOK WITH DECORATIVE COVER
1F4D5 ; [.1358.0020.0002] # CLOSED BOOK
1F4D6 ; [.1359.0020.0002] # OPEN BOOK
1F4D7 ; [.135A.0020.0002] # GREEN BOOK
1F4D8 ; [.135B.0020.0002] # BLUE BOOK
1F4D9 ; [.135C.0020.0002] # ORANGE BOOK
1F4DA ; [.135D.0020.0002] # BOOKS
1F4DB ; [.135E.0020.0002] # NAME BADGE
1F4DC ; [.135F.0020.0002] # SCROLL
